Date,Titel,Attendance
2012-10-10,Wir kaufen einen Zoo,31
2012-10-16,Tomboy,31
2012-10-17,Sein oder Nichtsein,42
2012-10-23,My week with Marilyn,55
2012-10-24,Dark knight rises,210
2012-10-30,Dark shadows,137
2012-10-31,Sleep tight,25
2012-11-06,Work hard – play hard,36
2012-11-07,Das Schwein von Gaza,70
2012-11-13,Hasta la vista,14
2012-11-14,Moonrise Kingdom,66
2012-11-20,Der Heiratsvermittler – Nesvatbov,5
2012-11-21,Hinter der Tür,23
2012-11-27,Polytechnique,11
2012-11-28,Starbuck,41
2012-12-04,…und es kommt noch schlimmer - A bude hur,10
2012-12-05,Holy Motors,15
2012-12-11,"Wer weiß, wohin?",19
2012-12-12,We need to talk about Kevin,27
2012-12-18,Stirb langsam,44
2012-12-19,Hugo Cabret,46
2013-01-08,Sunshine cleaning,31
2013-01-09,Kill me please,24
2013-01-15,Kaddisch für einen Freund,8
2013-01-16,Sag Salim,9
2013-01-22,Parada,10
2013-01-23,Sons of Norway,27
2013-01-29,Ufo in your eyes,8
2013-01-30,Töte mich,7
2013-02-05,Sound it out,2
2013-02-06,Wunschfilm,23
2012-11-26,Janosch komm wir finden einen schatz,56
